Year,Month,Day,Latitude,Longitude,Depth,Magnitude
2026,3,9,38.08444,28.97333,10.8,3.2
2026,3,9,38.09194,28.97722,7.0,3.0
2026,3,9,38.06417,28.98667,9.53,3.6
2026,3,9,38.08972,28.96944,7.0,3.3
2026,3,9,38.09111,28.97,9.33,3.1
2026,3,9,38.05861,28.98,10.19,3.1
2026,3,9,38.07333,28.95694,7.2,3.4
2026,3,9,38.08694,28.97389,7.0,5.1
2026,3,8,36.36583,28.22194,67.26,3.4
2026,3,8,38.10278,25.95722,7.11,3.3
2026,3,8,38.57972,27.64083,5.49,3.9
2026,3,8,38.95417,26.21806,14.91,3.1
2026,3,7,35.01083,27.25444,9.62,3.4
2026,3,7,38.15861,37.46778,7.0,3.2
2026,3,6,39.17722,28.30806,6.79,3.6
2026,3,6,34.98917,29.2,30.18,3.9
2026,3,6,35.00056,28.87861,19.03,3.6
2026,3,6,35.08972,28.98333,20.7,3.6
2026,3,6,35.12167,28.80778,7.99,3.5
2026,3,6,35.00222,28.92278,16.35,3.5
2026,3,6,34.8525,29.12667,19.72,3.6
2026,3,6,36.83611,28.2525,16.73,3.1
2026,3,6,34.94694,28.89139,12.5,4.5
2026,3,6,35.12722,28.94417,16.84,3.4
2026,3,6,38.08611,38.48972,5.82,3.2
2026,3,5,38.11694,25.96972,6.94,3.9
2026,3,4,38.92806,43.55111,5.01,3.1
2026,3,4,36.10944,31.22194,24.23,3.2
2026,3,4,36.25639,31.77417,79.94,3.7
2026,3,3,35.98194,31.30472,49.22,3.0
2026,3,3,36.44056,28.57889,15.32,3.0
2026,3,2,38.23694,38.49278,8.94,4.3
2026,3,2,38.53944,36.29083,12.02,3.9
2026,3,2,38.19083,39.07556,7.02,3.0
2026,3,2,39.72306,38.88611,10.42,3.1
2026,2,28,37.15167,36.59722,7.0,3.5
2026,2,28,37.1575,36.59889,5.8,3.6
2026,2,26,38.10667,37.3125,7.0,4.7
2026,2,25,39.13972,28.35278,7.0,3.3
2026,2,25,39.12889,28.355,7.01,3.0
2026,2,25,39.14167,28.35944,7.01,3.2
2026,2,25,39.14083,28.35222,7.46,3.0
2026,2,24,37.92833,28.78889,8.96,3.7
2026,2,24,34.53444,26.74611,7.08,3.7
2026,2,24,35.01278,28.88472,19.27,4.0
2026,2,24,38.65667,43.10417,6.96,3.5
2026,2,24,36.73083,26.32139,11.96,3.4
2026,2,23,39.20444,28.15722,6.98,3.1
2026,2,23,39.18083,28.17389,0.6,3.4
2026,2,23,37.89333,26.97,9.41,3.5
2026,2,23,35.05167,28.85972,7.99,3.7
2026,2,22,39.10583,28.38556,5.5,3.2
2026,2,22,39.1275,28.36111,7.0,3.4
2026,2,22,35.805,28.59056,17.14,3.5
2026,2,22,39.18556,28.17611,7.0,3.5
2026,2,22,39.185,28.18722,7.0,3.4
2026,2,22,37.70361,35.41,7.0,3.0
2026,2,21,39.23667,28.16639,9.92,3.4
2026,2,21,38.28722,38.76639,9.39,4.5
2026,2,20,39.18583,28.19278,7.35,3.0
2026,2,20,39.40083,25.92833,13.53,3.1
2026,2,20,36.41722,36.35972,9.27,4.2
2026,2,19,37.21917,28.73444,7.0,3.2
2026,2,19,39.20583,28.31667,10.34,3.2
2026,2,18,36.95472,27.56083,14.38,3.0
2026,2,18,39.20556,28.32056,6.67,3.8
2026,2,18,34.6625,27.23917,7.79,3.1
2026,2,17,39.22472,28.98944,7.21,3.1
2026,2,17,39.22417,28.98944,10.44,3.0
2026,2,15,37.00972,28.55139,15.61,3.0
2026,2,15,34.37444,32.06694,6.28,4.0
2026,2,15,41.11333,34.96083,7.0,4.0
2026,2,14,40.04917,28.74306,11.22,3.5
2026,2,13,40.49,30.24306,6.89,3.1
2026,2,12,39.15306,28.27694,13.9,3.0
2026,2,11,39.705,38.80667,7.02,4.1
2026,2,10,39.17111,28.30778,8.34,3.0
2026,2,9,39.22111,28.00528,11.51,3.1
2026,2,8,37.30306,28.51111,11.34,3.3
2026,2,8,39.15833,28.31139,6.41,3.1
2026,2,7,39.19222,28.275,9.83,3.2
2026,2,7,39.23833,28.095,7.87,4.0
2026,2,7,39.23389,28.09861,6.84,4.1
2026,2,7,39.25056,28.12167,8.13,3.5
2026,2,6,39.71056,38.84222,12.05,4.9
2026,2,5,39.13444,28.28528,9.26,3.5
2026,2,5,38.15806,37.90722,13.24,3.6
2026,2,5,38.16167,37.91861,15.69,3.0
2026,2,4,35.80722,26.73361,26.35,3.2
2026,2,4,37.30167,37.02333,14.28,3.3
2026,2,4,40.7425,27.35194,13.91,3.0
2026,2,3,38.22389,38.50306,9.81,3.0
2026,2,3,39.2025,28.29778,9.22,3.1
2026,2,3,37.915,36.27667,7.0,3.1
2026,2,3,38.27917,37.76444,12.86,3.0
2026,2,3,35.95722,30.81111,16.75,3.0
2026,2,2,38.77694,27.14333,12.81,3.2
2026,2,2,39.18278,28.30139,12.42,3.4
2026,2,2,39.23917,29.01889,12.5,3.5
2026,2,1,37.33167,32.37028,12.54,3.4
2026,1,31,37.90889,36.28583,9.13,3.7
2026,1,31,35.81861,31.44361,8.15,3.0
2026,1,30,40.78222,31.64333,7.92,3.1
2026,1,30,39.18611,28.30806,8.59,3.8
2026,1,30,37.90333,27.48806,7.0,3.8
2026,1,30,39.21694,28.17306,11.14,3.2
2026,1,30,38.20972,26.04083,7.14,3.2
2026,1,29,39.15944,28.33472,11.58,3.6
2026,1,29,39.44083,44.1575,6.89,3.8
2026,1,29,38.10556,38.33944,13.22,3.1
2026,1,28,37.13861,30.51028,9.63,3.3
2026,1,28,38.35583,38.8175,7.02,3.1
2026,1,28,39.14333,28.32139,11.17,3.2
2026,1,28,39.18417,28.27528,10.22,3.0
2026,1,27,41.25667,39.81972,14.61,3.8
2026,1,27,38.36528,38.79972,7.0,3.1
2026,1,27,38.12111,38.49139,7.0,3.7
2026,1,27,39.81556,38.92694,14.64,3.5
2026,1,27,39.17056,28.29861,7.44,3.1
2026,1,26,39.2225,28.09972,8.98,3.2
2026,1,26,39.13667,28.32278,13.56,3.3
2026,1,26,39.155,28.31083,14.78,4.4
2026,1,26,39.17417,28.31778,6.2,3.4
2026,1,25,37.14083,36.92139,7.82,4.1
2026,1,25,39.1625,28.31694,15.03,3.9
2026,1,24,39.16361,28.30167,12.07,3.0
2026,1,24,39.17139,28.30417,11.96,3.6
2026,1,24,39.17389,28.30222,5.56,3.2
2026,1,24,39.16111,28.29833,6.91,4.2
2026,1,24,39.185,28.29278,10.73,4.1
2026,1,24,39.19389,28.29639,11.64,3.0
2026,1,24,39.1975,28.28861,10.2,3.4
2026,1,24,39.19417,28.26778,7.06,3.9
2026,1,24,39.18917,28.26472,11.33,3.3
2026,1,24,39.17167,28.28472,8.18,3.4
2026,1,24,39.20611,28.29167,11.04,3.6
2026,1,24,39.18778,28.28861,11.93,5.1
2026,1,23,39.2225,28.08889,10.9,3.9
2026,1,23,39.185,28.13611,13.89,3.0
2026,1,23,36.32222,36.08028,9.85,3.3
2026,1,22,40.44472,26.38639,11.21,3.1
2026,1,22,38.83583,37.47028,7.08,3.0
2026,1,22,39.25639,28.11167,9.34,3.0
2026,1,22,39.13306,28.34583,10.21,4.0
2026,1,22,39.14444,28.3075,7.36,3.7
2026,1,22,39.15472,28.29583,10.06,3.9
2026,1,22,39.15167,28.29389,7.47,3.2
2026,1,21,39.155,28.32667,6.25,3.1
2026,1,21,39.16333,28.30583,8.86,3.0
2026,1,21,39.15917,28.30056,13.65,4.4
2026,1,21,39.14833,28.32778,11.58,4.1
2026,1,21,39.14083,28.30611,12.29,3.4
2026,1,21,39.15833,28.32194,11.0,3.6
2026,1,21,39.15167,28.30194,7.0,3.0
2026,1,21,39.15806,28.32,5.89,3.7
2026,1,21,39.13639,28.32278,9.75,3.7
2026,1,21,39.135,28.32389,11.58,4.5
2026,1,21,36.95389,28.94111,9.42,3.2
2026,1,21,39.16889,28.24389,7.0,3.3
2026,1,21,36.6925,34.10444,7.0,3.9
2026,1,21,39.00722,40.48056,6.95,3.4
2026,1,21,36.79194,26.34556,7.0,3.3
2026,1,18,38.15639,38.42917,7.01,3.0
2026,1,18,37.3925,37.10222,7.68,3.1
2026,1,18,38.51278,38.03556,7.0,3.1
2026,1,18,39.01806,25.9575,10.29,3.1
2026,1,18,39.02944,25.995,7.0,3.1
2026,1,17,38.47361,25.40222,7.0,3.8
2026,1,17,39.32111,27.68222,12.98,3.2
2026,1,16,38.15111,36.65611,7.01,4.0
2026,1,15,35.66139,28.18806,28.16,3.5
2026,1,15,39.18667,28.24472,5.66,3.0
2026,1,15,39.32056,27.70583,11.75,3.6
2026,1,14,39.16972,28.31278,7.0,3.9
2026,1,14,38.12333,38.58944,10.0,3.3
2026,1,13,39.22306,28.14167,6.91,3.5
2026,1,13,38.24194,25.9675,10.23,3.0
2026,1,13,35.59278,32.00611,10.01,3.7
2026,1,13,38.59444,43.15222,7.0,3.0
2026,1,12,38.27139,38.27861,7.16,3.6
2026,1,12,38.46806,25.39,7.0,3.4
2026,1,12,37.92472,36.68611,7.0,3.4
2026,1,11,38.77028,27.14167,13.48,3.3
2026,1,11,38.76889,27.13972,9.85,3.8
2026,1,11,38.77306,27.13889,7.47,3.7
2026,1,10,36.36028,28.73667,40.08,4.1
2026,1,9,37.91972,36.6575,12.36,4.0
2026,1,9,39.17306,28.27556,6.98,3.2
2026,1,8,39.18306,28.29583,6.99,3.2
2026,1,8,39.16861,28.28861,8.14,3.0
2026,1,7,39.01361,25.92972,12.51,3.1
2026,1,6,39.42417,25.99111,17.49,4.0
2026,1,4,36.63694,29.30056,13.54,3.0
2026,1,4,38.02472,37.67389,7.02,3.5
2026,1,3,38.395,38.9425,11.5,3.4
2026,1,3,38.40111,38.93917,9.85,4.7
2026,1,3,38.77028,41.675,8.61,3.2
2026,1,3,39.20694,28.17056,6.73,3.1
2026,1,3,39.00417,25.91139,8.55,3.7
2026,1,3,39.3975,40.61083,6.97,3.5
2026,1,2,36.10278,28.30278,43.27,3.2
2026,1,2,39.25056,28.09,7.44,3.5
2026,1,1,39.21889,28.98472,7.0,3.3
2026,1,1,36.66167,29.265,23.92,3.5
2026,1,1,39.02611,25.97694,7.0,3.0
2026,1,1,39.19139,28.34917,8.33,3.0
2026,1,1,39.19111,28.23083,7.07,3.5
2026,1,1,36.76778,33.655,13.81,3.0
2025,12,29,36.17083,28.45611,44.17,3.8
2025,12,28,39.18722,28.23806,6.66,3.1
2025,12,27,39.19389,28.22222,6.48,3.3
2025,12,27,39.18556,28.22028,5.82,3.0
2025,12,27,35.34361,27.61694,5.48,3.5
2025,12,27,39.23806,28.16222,7.28,3.2
2025,12,26,39.22806,28.14833,12.47,3.1
2025,12,25,39.24028,28.16472,13.96,3.3
2025,12,24,36.10278,35.98639,8.62,3.6
2025,12,24,38.32139,42.70028,13.0,3.0
2025,12,23,38.12111,32.60278,7.0,3.5
2025,12,23,39.02278,30.20722,10.86,3.1
2025,12,23,36.7525,26.91833,41.32,3.2
2025,12,22,37.97778,38.18972,7.0,3.1
2025,12,22,40.80417,31.89111,8.43,3.5
2025,12,22,39.17333,27.95667,6.95,3.1
2025,12,20,37.01056,36.12417,7.0,3.1
2025,12,20,39.25667,29.00556,11.23,3.2
2025,12,20,39.18528,28.24444,9.69,3.0
2025,12,20,40.65056,30.75722,6.99,3.0
2025,12,19,34.90833,26.82722,6.98,3.6
2025,12,19,39.18611,28.04083,10.36,3.1
2025,12,19,38.20472,36.70222,10.82,4.2
2025,12,19,40.18833,27.02056,10.54,3.3
2025,12,18,38.25333,38.10139,12.62,3.0
2025,12,18,39.23972,28.15417,13.19,3.1
2025,12,17,39.20361,28.16056,4.94,3.4
2025,12,17,39.22417,28.16472,6.12,3.4
2025,12,17,36.67056,36.42028,7.41,4.0
2025,12,17,39.20611,28.16167,7.14,3.0
2025,12,16,39.19194,28.15444,12.57,3.5
2025,12,16,37.03361,30.86944,50.53,3.8
2025,12,15,39.20194,28.24083,9.11,3.0
2025,12,15,36.24444,36.20028,7.0,4.2
2025,12,14,35.04417,26.26417,8.26,3.0
2025,12,13,39.20944,28.15556,7.0,3.7
2025,12,13,39.21139,28.33083,15.18,3.3
2025,12,13,38.11417,37.01944,14.39,3.4
2025,12,12,39.20806,25.99194,27.48,3.1
2025,12,11,39.18861,28.27139,9.87,3.0
2025,12,11,36.08917,27.50389,22.66,3.1
2025,12,11,36.04722,27.47,17.66,3.1
2025,12,11,39.22167,28.00944,5.52,3.0
2025,12,11,39.19222,28.26111,6.67,3.1
2025,12,11,39.215,28.17417,10.32,3.1
2025,12,11,39.19389,28.30306,9.71,3.0
2025,12,11,39.19667,28.31639,6.97,4.9
2025,12,11,39.21167,28.25028,7.03,3.1
2025,12,11,39.11556,32.86306,7.0,3.3
2025,12,10,39.19278,28.25056,6.82,3.1
2025,12,10,39.18472,28.27472,7.0,3.7
2025,12,10,39.19778,28.25278,5.82,3.9
2025,12,10,37.89778,28.45944,5.08,3.0
2025,12,9,36.85889,35.7,12.32,3.5
2025,12,9,39.51278,39.88778,7.0,4.2
2025,12,9,37.08472,31.96972,10.53,3.1
2025,12,8,37.03778,30.85528,94.06,4.9
2025,12,8,36.67278,30.765,16.93,3.6
2025,12,8,39.24639,28.97861,9.29,3.1
2025,12,8,39.26056,28.97389,9.16,3.3
2025,12,8,36.77139,30.54111,20.75,4.3
2025,12,7,38.81389,43.52306,15.2,4.6
2025,12,7,39.18611,28.26056,8.82,3.2
2025,12,7,37.8875,27.37111,5.61,3.5
2025,12,7,34.31083,27.73167,5.93,3.4
2025,12,6,38.60361,39.77083,7.0,3.0
2025,12,6,38.81972,40.03833,7.0,3.2
2025,12,6,39.2,28.15833,10.83,3.6
2025,12,5,38.12667,38.50694,5.98,3.1
2025,12,4,39.19083,28.21722,6.99,3.4
2025,12,2,39.18444,28.19306,7.0,3.1
2025,12,2,41.01722,33.03667,6.98,3.7
2025,12,2,40.63472,27.85917,15.59,3.0
2025,12,2,39.21639,28.175,6.32,3.0
2025,12,1,38.51806,38.04639,7.0,3.1
2025,12,1,38.93778,26.05806,10.64,3.3
2025,12,1,38.92528,26.12333,12.18,3.3
2025,12,1,38.44861,40.43667,10.19,3.4
2025,11,30,39.98333,38.65917,6.78,3.3
2025,11,30,39.03778,29.7175,10.3,4.0
2025,11,30,36.06972,31.08083,35.64,3.6
2025,11,29,39.25694,28.13333,5.36,3.1
2025,11,29,40.50917,30.15083,7.05,3.1
2025,11,28,39.23333,29.01333,11.31,3.3
2025,11,28,37.31111,36.27278,7.0,3.2
2025,11,28,39.17417,28.17,8.4,3.3
2025,11,28,39.15056,25.88139,16.75,3.5
2025,11,27,39.91722,40.93722,10.11,3.0
2025,11,27,39.2275,28.09861,6.98,3.2
2025,11,27,39.21,28.24361,9.16,3.1
2025,11,26,36.34306,28.52028,20.37,3.8
2025,11,26,39.00333,42.70056,6.99,3.1
2025,11,26,39.20861,28.15056,12.75,3.0
2025,11,25,36.82222,26.63472,8.92,3.1
2025,11,25,39.25528,28.13861,6.49,3.1
2025,11,25,37.44306,36.95944,11.29,3.2
2025,11,25,39.23333,28.14333,6.59,3.3
2025,11,25,39.16833,28.26972,10.07,3.2
2025,11,24,33.84694,27.71861,36.7,3.0
2025,11,23,39.99306,42.60528,10.39,3.0
2025,11,23,38.14917,38.53806,7.14,3.1
2025,11,23,38.94139,28.73833,10.14,3.0
2025,11,23,39.16583,28.26139,5.25,3.8
2025,11,22,39.23917,28.96778,11.68,3.5
2025,11,21,39.24583,28.97194,5.03,3.8
2025,11,21,39.58417,26.44222,7.02,3.2
2025,11,20,36.5925,34.57222,35.52,3.5
2025,11,20,37.15917,36.64056,4.77,3.1
2025,11,20,37.14083,36.63444,7.0,3.5
2025,11,20,39.20306,28.30139,10.09,3.2
2025,11,20,37.13528,36.63444,7.0,4.4
2025,11,20,39.06417,28.265,10.69,3.1
2025,11,19,35.56,26.25639,7.0,3.6
2025,11,19,39.22583,28.14306,7.0,3.4
2025,11,19,39.19389,28.2825,11.01,3.5
2025,11,18,37.98861,27.12917,7.01,3.5
2025,11,18,39.22028,28.25278,12.91,3.1
2025,11,17,39.22361,28.18194,4.6,3.2
2025,11,17,39.2025,28.18694,6.83,3.1
2025,11,17,39.19278,28.17694,7.11,3.0
2025,11,17,39.23444,28.16889,6.0,4.0
2025,11,17,39.23861,28.15389,7.0,3.7
2025,11,17,39.58778,26.00639,8.24,3.5
2025,11,16,39.22583,28.00528,9.65,3.5
2025,11,16,39.22889,27.97361,7.01,3.1
2025,11,16,39.22639,28.15722,7.0,3.1
2025,11,16,39.22556,28.13667,7.0,3.2
2025,11,16,39.18833,28.25556,7.42,3.3
2025,11,16,39.21278,28.14417,7.0,3.1
2025,11,16,39.23167,28.04167,7.27,3.1
2025,11,15,39.60778,25.98861,8.33,4.0
2025,11,15,39.57583,25.97639,13.6,3.0
2025,11,15,39.14944,28.32028,12.11,4.4
2025,11,15,39.15972,28.32444,14.74,3.9
2025,11,15,39.24083,28.16,7.0,4.1
2025,11,14,39.24,28.16056,6.11,3.1
2025,11,14,34.88944,26.26333,7.57,4.0
2025,11,13,39.25306,28.12278,6.94,3.4
2025,11,13,36.99667,30.82167,74.03,3.2
2025,11,13,40.83389,28.25,14.2,3.4
2025,11,13,39.22778,28.15639,8.76,3.3
2025,11,13,39.20889,28.17972,6.25,3.0
2025,11,13,39.22083,28.16,7.0,3.0
2025,11,13,39.2375,28.15333,4.78,3.3
2025,11,13,39.24333,28.16583,5.13,3.2
2025,11,13,39.16806,28.31972,13.06,3.9
2025,11,13,39.23972,28.13972,7.01,4.0
2025,11,13,39.25667,28.11444,7.01,3.0
2025,11,13,39.23917,28.15556,5.63,3.1
2025,11,13,39.24583,28.155,7.0,3.4
2025,11,13,39.25556,28.15528,6.99,3.0
2025,11,13,39.21944,28.1975,6.84,3.0
2025,11,13,39.24194,28.17028,7.99,3.2
2025,11,13,39.2525,28.13444,6.98,3.3
2025,11,13,39.23556,28.17222,7.89,4.2
2025,11,13,39.24139,28.14611,7.0,4.2
2025,11,13,39.24417,28.14806,12.31,4.7
2025,11,13,39.23722,28.30583,4.9,3.0
2025,11,13,38.11389,37.02111,7.01,3.1
2025,11,12,37.80972,36.27028,6.98,3.0
2025,11,12,39.20056,28.15806,5.97,3.0
2025,11,12,39.25694,28.95167,7.03,3.8
2025,11,12,39.23889,28.17611,7.01,3.2
2025,11,12,39.24306,28.115,4.9,3.0
2025,11,12,39.21667,28.16083,7.1,3.1
2025,11,12,39.23972,28.16028,6.99,3.4
2025,11,12,39.22167,28.17028,9.59,3.1
2025,11,12,42.25444,34.81028,21.91,3.1
2025,11,12,39.18361,28.14028,5.52,3.1
2025,11,12,39.23472,28.17306,5.47,3.5
2025,11,11,39.25556,28.14028,8.35,3.2
2025,11,11,39.24167,28.11944,5.74,3.4
2025,11,11,39.22694,28.17028,5.82,4.0
2025,11,11,39.22028,28.17694,8.12,4.1
2025,11,11,39.23778,28.1575,7.92,3.2
2025,11,11,37.94083,36.34111,6.98,3.2
2025,11,11,37.94361,36.32194,6.96,3.6
2025,11,11,39.24417,28.15306,7.0,3.5
2025,11,11,39.16806,28.27278,7.0,3.4
2025,11,11,39.25361,28.18083,7.0,3.2
2025,11,11,39.255,28.13889,6.99,3.5
2025,11,11,39.22806,28.14167,7.0,4.3
2025,11,10,39.21806,28.15722,7.18,3.8
2025,11,10,39.23,28.15472,6.48,3.6
2025,11,10,39.25417,28.13917,8.34,3.1
2025,11,10,39.24972,28.15,8.14,3.0
2025,11,10,39.25278,28.1425,10.06,3.4
2025,11,10,39.24972,28.13722,6.78,3.6
2025,11,10,39.25694,28.15361,8.37,3.1
2025,11,10,39.23889,28.145,9.64,4.9
2025,11,10,39.20028,28.21028,6.66,3.9
2025,11,10,39.21917,28.17083,8.2,3.0
2025,11,10,39.18389,28.30611,8.83,3.0
2025,11,10,39.24778,28.15583,7.13,3.8
2025,11,10,39.14278,28.27806,10.82,3.1
2025,11,10,39.14417,28.29167,13.32,3.3
2025,11,10,39.13667,28.29417,10.25,3.0
2025,11,10,39.24111,28.13722,7.0,3.6
2025,11,10,39.24083,28.12889,7.0,3.1
2025,11,10,39.23972,28.12972,7.0,3.7
2025,11,10,39.24611,28.11667,7.0,3.2
2025,11,10,39.135,28.29,10.38,4.4
2025,11,10,39.2425,28.15722,7.0,3.0
2025,11,10,39.16417,28.27528,6.99,3.1
2025,11,10,39.20028,28.09111,12.36,3.0
2025,11,10,39.2525,28.16361,10.05,3.1
2025,11,10,39.22667,28.1625,7.0,3.1
2025,11,10,39.255,28.15417,7.0,3.4
2025,11,10,39.25361,28.16056,6.99,3.6
2025,11,10,39.20528,28.13528,7.03,3.9
2025,11,10,39.21722,28.13944,13.25,4.5
2025,11,10,39.23778,28.14111,11.01,4.5
2025,11,9,39.22028,28.00056,13.82,3.2
2025,11,9,39.24083,28.14139,10.75,3.3
2025,11,9,39.22556,28.15444,10.99,3.4
2025,11,9,39.22667,28.01389,7.14,4.5
2025,11,9,39.20889,28.20278,7.0,3.2
2025,11,8,39.19389,28.31333,9.4,3.4
2025,11,8,39.34722,40.86028,7.0,3.8
2025,11,8,35.685,31.00417,15.48,3.2
2025,11,8,39.19222,28.26194,9.38,3.1
2025,11,8,39.18694,28.20861,8.04,3.1
2025,11,8,35.74278,26.79778,19.01,3.7
2025,11,8,39.19333,28.24278,10.06,3.0
2025,11,8,39.21083,28.32472,10.68,3.5
2025,11,8,39.18944,28.21944,8.53,3.1
2025,11,8,39.21222,28.17556,11.75,3.1
2025,11,7,39.185,28.26667,11.77,3.7
2025,11,7,36.59722,26.40333,40.02,3.4
2025,11,7,39.14194,28.21556,7.47,3.2
2025,11,7,38.89083,28.31806,6.98,3.0
2025,11,7,36.2075,36.11139,13.22,3.9
2025,11,7,39.20417,28.14139,10.89,3.2
2025,11,7,38.90806,28.30556,7.03,3.1
2025,11,7,39.19056,28.35194,7.0,3.0
2025,11,7,39.14694,28.21694,14.71,4.2
2025,11,7,39.20472,28.30694,7.01,3.1
2025,11,6,39.20833,28.16472,9.6,4.3
2025,11,6,39.15778,28.26944,13.03,3.6
2025,11,6,39.16972,28.26306,8.75,3.5
2025,11,6,39.21333,28.18778,12.05,3.8
